day,mean_pressure_hpa,mean_temp_c,max_temp_c,min_temp_c,mean_humidity_pct,total_precip_mm,mean_wind_ms,max_wind_ms,total_sunshine_s,mean_solar_wm2,mean_cloud_pct,mean_apparent_c,dominant_description
1,1000.3291666666668,7.354166666666667,11.1,3.5,73.58333333333333,6.4,4.7058333333333335,7.79,9811.05,95.45833333333333,84.95833333333333,3.2875,Overcast
2,1005.15,5.925,10.4,1.8,70.625,0.7,2.189583333333333,3.3,39840.76,166.04166666666666,29.916666666666668,2.7375000000000003,Clear sky
3,1011.4833333333332,6.854166666666667,11.6,2.4,76.91666666666667,2.6,4.21375,7.25,21600.0,106.95833333333333,53.333333333333336,3.045833333333333,Clear sky
4,1015.3000000000001,8.408333333333333,11.6,5.2,78.16666666666667,0.0,3.9616666666666664,5.62,19739.48,103.54166666666667,80.54166666666667,5.095833333333333,Overcast
5,1015.8874999999999,11.095833333333333,13.6,8.9,78.125,0.0,3.4675,5.51,31640.64,138.70833333333334,56.791666666666664,8.604166666666666,Overcast
6,1020.6999999999999,11.666666666666666,17.3,8.1,69.66666666666667,0.0,2.435,3.68,42405.13,180.29166666666666,0.0,9.450000000000001,Clear sky
7,1025.9958333333334,10.137500000000001,15.6,5.4,66.25,0.0,2.2758333333333334,3.11,42541.96,189.83333333333334,14.416666666666666,7.5249999999999995,Clear sky
8,1022.6708333333332,8.200000000000001,12.9,3.5,74.75,0.0,1.9383333333333335,2.58,42678.26,150.875,74.875,5.758333333333333,Overcast
